ds:H00001	B lymphoblastic leukemia/lymphoma
ds:H00582	Benign familial hematuria; Thin basement membrane nephropathy
ds:H00583	Opitz-GBBB syndrome
ds:H00584	Epidermolysis bullosa simplex
ds:H00585	Epidermolysis bullosa, hemidesmosomal
ds:H00586	Epidermolysis bullosa, junctional
ds:H00587	Epidermolysis bullosa, dysprophica
ds:H00588	Kindler syndrome
ds:H00589	Familial exudative vitreoretinopathy (FEVR)
ds:H00590	Congenital muscular dystrophies (CMD/MDC)
ds:H00591	Facioscapulohumeral muscular dystrophy (FSHD)
ds:H00592	Calpainopathy; Limb-girdle muscular dystrophy 2A (LGMD2A)
ds:H00593	Limb-girdle muscular dystrophy (LGMD)
ds:H00594	Distal myopathy
ds:H00595	Myofibrillar myopathies (MFM)
ds:H00596	Nonaka distal myopathy (NM); Distal myopathy with rimmed vacuoles (DMRV); Hereditary inclusion body myopathy (hIBM)
ds:H00597	Snyder-Robinson syndrome
ds:H00598	46,XX disorders of sex development (Disorders of gonadal development)
ds:H00599	46,XX disorders of sex development (Disorders related to androgen excess)
ds:H00600	46,XX disorders of sex development (Other)
ds:H00601	Hutchinson-Gilford progeria syndrome
ds:H00602	Glucocorticoid-remediable aldosteronism (GRA)
ds:H00603	Hypertension exacerbated in pregnancy
ds:H00604	Deafness, autosomal dominant
ds:H00605	Deafness, autosomal recessive
ds:H00606	Early infantile epileptic encephalopathy; Ohtahara syndrome
ds:H00607	46,XY disorders of sex development (Disorders of gonadal development)
ds:H00608	46,XY disorders of sex development (Disorders in androgen synthesis or action)
ds:H00609	46,XY disorders of sex development (Other)
ds:H00610	Treacher Collins syndrome
ds:H00611	Popliteal pterygium syndrome (PPS)
ds:H00612	Primary open angle glaucoma
ds:H00613	Infantile cortical hyperostosis; Caffey disease
ds:H00614	Hyaline fibromatosis syndrome
ds:H00615	Amelogenesis imperfecta
ds:H00616	Bowen-Conradi syndrome (BCS)
ds:H00617	Desmosterolosis
ds:H00618	Amelogenesis imperfecta hypoplastic-hypomaturation with taurodontism (AIHHT)
ds:H00619	Kenny-Caffey syndrome
ds:H00620	Axenfeld-Rieger syndrome (ARS)
ds:H00621	Alopecia neurologic defects and endocrinopathy syndrome (ANE syndrome)
ds:H00622	Hypoparathyroidism-retardation-dysmorphism syndrome; Sanjad-Sakati syndrome
ds:H00623	Hajdu-Cheney syndrome
ds:H00624	Familial cholestasis
ds:H00625	Tooth agenesis; Hypodontia
ds:H00626	Focal segmental glomerulosclerosis
ds:H00627	Premature ovarian failure
ds:H00628	Congenital bile acid synthesis defect (CBAS)
ds:H00629	Acheiropodia
ds:H00630	Rheumatoid arthritis
ds:H00631	Cornelia de Lange syndrome (CdLS)
ds:H00632	Heterotaxy; Situs ambiguus
ds:H00633	Duane retraction syndrome
ds:H00634	Duane-radial ray syndrome and IVIC syndrome; Okihiro syndrome
ds:H00635	Aniridia
ds:H00636	Tetra-amelia
ds:H00637	Ulnar-mammary syndrome; Schinzel syndrome
ds:H00638	Ectrodactyly-ectodermal dysplasia cleft-palate syndrome (EEC syndrome)
ds:H00639	Ectodermal dysplasia, ectrodactyly, and macular dystrophy (EEM syndrome)
ds:H00640	Limb-mammary syndrome
ds:H00641	ADULT syndrome
ds:H00642	Lacrimo-auriculo-dento-digital syndrome (LADD); Levy-Hollister syndrome
ds:H00643	Tooth and nail syndrome; Witkop syndrome
ds:H00644	Ectodermal dysplasia/skin fragility syndrome
ds:H00645	Incontinentia pigmenti
ds:H00646	Odontoonychodermal dysplasia
ds:H00647	Ectodermal dysplasia-syndactyly syndrome (EDSS)
ds:H00648	Ectodermal dysplasia, hidrotic; Clouston syndrome
ds:H00649	Ectodermal dysplasia, pure hair-nail type (HNED)
ds:H00650	Allan-Herndon-Dudley syndrome; Monocarboxylate transporter 8 deficiency
ds:H00651	Ectodermal dysplasia
ds:H00652	Solitary median maxillary central incisor syndrome
ds:H00653	Marfan syndrome
ds:H00654	Barth syndrome (BTHS)
ds:H00655	McLeod syndrome
ds:H00656	Scapuloperoneal myopathy (SPM)
ds:H00657	Reducing body myopathy (RBM)
ds:H00658	Syndromic X-linked mental retardation
ds:H00659	Shprintzen-Goldberg syndrome
ds:H00660	Congenital contractural arachnodactyly (CCA); Beals syndrome
ds:H00661	MASS phenotype
ds:H00662	Ectopia lentis
ds:H00663	Restrictive dermopathy
ds:H00664	Anemia due to disorders of glycolytic enzymes
ds:H00665	Mandibuloacral dysplasia
ds:H00666	Peutz-Jeghers syndrome
ds:H00667	Woolly hair
ds:H00668	Anemia due to disorders of glutathione metabolism
ds:H00669	Naxos disease
ds:H00670	Monilethrix
ds:H00671	Netherton syndrome
ds:H00672	Pseudofolliculitis barbae
ds:H00673	Weill-Marchesani syndrome
ds:H00674	Anemia due to disorders of nucleotide metabolism
ds:H00675	Acrocapitofemoral dysplasia
ds:H00676	Congenital primary aphakia
ds:H00677	Aplasia of lacrimal and salivary glands
ds:H00678	Achondrogenesis type IA; Achondrogenesis, Houston-Harris type
ds:H00679	Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD)
ds:H00680	Primary failure of tooth eruption
ds:H00681	Acne inversa; Hidradenitis suppurativa
ds:H00682	Woodhouse-Sakati syndrome; Hypogonadism, alopecia, diabetes mellitus, mental retardation, and extrapyramidal syndrome
ds:H00683	Anonychia congenita
ds:H00684	Pachyonychia congenita
ds:H00685	Bifid nose with or without anorectal and renal anomalies; BNAR syndrome
ds:H00686	Manitoba oculotrichoanal syndrome
ds:H00687	Fraser syndrome
ds:H00688	Familial advanced sleep phase syndrome
ds:H00689	Delayed sleep phase syndrome
ds:H00690	Aland Island eye disease; Forsius-Eriksson syndrome
ds:H00691	Bullous congenital ichthyosiform erythroderma (BCIE); Epidermolytic hyperkeratosis (EHK)
ds:H00692	Lowe syndrome; Oculocerebrorenal Dystrophy (OCRL)
ds:H00693	Ichthyosis bullosa of Siemens
ds:H00694	Dent disease
ds:H00695	Mal de Meleda; Meleda disease
ds:H00696	Haim-Munk syndrome; Keratosis palmoplantaris periodontopathia onychogryposis
ds:H00697	X-linked myopathy with postural muscle atrophy (XMPMA)
ds:H00698	Nemaline myopathy
ds:H00699	Central core disease
ds:H00700	Centronuclear myopathy
ds:H00701	Congenital fiber type disproportion (CFTD)
ds:H00702	Cap myopathy
ds:H00703	Myosin storage myopathy (MSM); Hyaline body myopathy
ds:H00704	Oculopharyngeal muscular dystrophy (OPMD)
ds:H00705	Myotonia congenita
ds:H00706	Bart-Pumphrey syndrome
ds:H00707	Ichthyosis hystrix, Curth-Macklin type
ds:H00708	Naegeli-Franceschetti-Jadassohn syndrome
ds:H00709	Birk Barel mental retardation syndrome (BBMRS); Birk-Barel syndrome (BIBAS)
ds:H00710	Erythrokeratodermia variabilis
ds:H00711	Russell-Silver syndrome; Silver-Russell syndrome
ds:H00712	Keratitis-ichthyosis-deafness syndrome; KID/HID syndrome
ds:H00713	Beckwith-Wiedemann syndrome
ds:H00714	Vohwinkel syndrome
ds:H00715	Darier disease; Dyskeratosis follicularis
ds:H00716	Palmoplantar keratoderma with deafness
ds:H00717	Striate palmoplantar keratoderma
ds:H00718	Sotos syndrome
ds:H00719	Leprechaunism; Donohue syndrome
ds:H00720	Long QT syndrome
ds:H00721	Pyogenic bacterial infections, recurrent, due to MYD88 deficiency
ds:H00722	Epidermolytic palmoplantar keratoderma (EPPK)
ds:H00723	Non-epidermolytic palmoplantar keratoderma (NEPPK)
ds:H00724	White sponge nevus
ds:H00725	Short QT syndrome
ds:H00726	Meesmann corneal dystrophy
ds:H00727	Athabascan brainstem dysgenesis syndrome; Bosley-Salih-Alorainy syndrome
ds:H00728	Brugada syndrome (BRS)
ds:H00729	Sick sinus syndrome (SSS); Sinus node dysfunction
ds:H00730	Familial idiopathic ventricular fibrillation
ds:H00731	Atrial fibrillation
ds:H00732	Sorsby fundus dystrophy
ds:H00733	Harlequin ichthyosis
ds:H00734	Autosomal recessive congenital ichthyosis
ds:H00735	Ichthyosis vulgaris
ds:H00736	Dorfman-Chanarin syndrome; Chanarin-Dorfman syndrome
ds:H00737	Peeling skin syndrome
ds:H00738	Ichthyosis with confetti; Congenital reticular ichthyosiform erythroderma; Ichthyosis variegata
ds:H00739	Ichthyosis with hypotrichosis
ds:H00740	Ichthyosis follicularis, alopecia, and photophobia syndrome
ds:H00741	Ichthyosis prematurity syndrome
ds:H00742	Neonatal ichthyosis-sclerosing cholangitis (NISCH) syndrome; Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis (ILVASC)
ds:H00743	Paramyotonia congenita (PMC)
ds:H00744	Potassium-aggravated myotonias (PAMs)
ds:H00745	Hyperkalemic periodic paralysis (HyperPP)
ds:H00746	Hypokalemic periodic paralysis (HypoPP)
ds:H00747	Thyrotoxic hypokalemic periodic paralysis (TPP)
ds:H00748	Andersen-Tawil syndrome (ATS)
ds:H00749	Episodic ataxias
ds:H00750	Keratosis follicularis spinulosa decalvans
ds:H00751	Asphyxiating thoracic dystrophy; Jeune syndrome
ds:H00752	Ankyloblepharon-ctodermal defects-cleft lip/palate (AEC) syndrome and Rapp-Hodgkin syndrome
ds:H00753	Urofacial syndrome
ds:H00754	3-Methylglutaconic aciduria (MGCA)
ds:H00755	Acrokeratosis verruciformis
ds:H00756	Pitt-Hopkins syndrome
ds:H00757	Dyggve-Melchior-Clausen disease and Smith-McCort dysplasia
ds:H00758	Progressive pseudorheumatoid dysplasia (PPRD); Spondyloepiphyseal dysplasia tarda with progressive arthropathy (SEDT-PA)
ds:H00759	Waardenburg syndrome (WS)
ds:H00760	Spondyloepiphyseal dysplasia tarda
ds:H00761	SEMD, Pakistani type
ds:H00762	SEMD, Omani type; Spondyloepiphyseal dysplasia with congenital joint dislocations
ds:H00763	Transient bullous dermolysis of the newborn
ds:H00764	Chromosme 5p deletion syndrome; Cri du chat syndrome; Cat cry syndrome
ds:H00765	Spondyloepiphyseal dysplasia, Kimberley type; Spondyloepimetaphyseal dysplasia, aggrecan type
ds:H00766	Wolcott-Rallison syndrome; SED, Wolcott-Rallison type
ds:H00767	SEMD, Matrilin type; Spondyloepimetaphyseal dysplasia
ds:H00768	Nonsyndromic autosomal recessive mental retardation (NS-ARMR)
ds:H00769	Hyperekplexia
ds:H00770	Congenital myasthenic syndrome
ds:H00771	Inherited erythromelalgia (IEM); Primary erythromelalgia
ds:H00772	Paroxysmal extreme pain disorder (PEPD)
ds:H00773	Autosomal dominant mental retardation
ds:H00774	Congenital insensitivity to pain
ds:H00775	Familial or sporadic hemiplegic migraine
ds:H00776	Congenital motor nystagmus (CMN); Idiopathic congenital nystagmus (ICN)
ds:H00777	SEMD, short limb-hand type; SEMD, short limb-abnormal calcification type
ds:H00778	Tarsal-carpal coalition syndrome
ds:H00779	Usher syndrome (US)
ds:H00780	Atrichia with papular lesions
ds:H00781	Schopf-Schulz-Passarge syndrome; Keratosis palmoplantaris-cystic eyelids-hypodontia-hypotrichosis
ds:H00782	Hypotrichosis and recurrent skin vesicles
ds:H00783	Febrile seizures
ds:H00784	Localized autosomal recessive hypotrichosis
ds:H00785	Congenital hypotrichosis with juvenile macular dystrophy
ds:H00786	Hereditary hypotrichosis simplex
ds:H00787	Congenital stationary night blindness (CSNB)
ds:H00788	Hoyeraal-Hreidarsson syndrome
ds:H00789	Keratoconus
ds:H00790	Keratosis linearis with ichthyosis congenita and sclerosing keratoderma; KLICK syndrome
ds:H00791	Disseminated superficial actinic porokeratosis (DSAP)
ds:H00792	Warburg micro syndrome
ds:H00793	Poikiloderma with neutropenia
ds:H00794	Aromatase excess syndrome
ds:H00795	Seborrhea-like dermatitis with psoriasiform element
ds:H00796	Dermatopathia pigmentosa reticularis
ds:H00797	Martsolf syndrome
ds:H00798	Familial carpal tunnel syndrome
ds:H00799	CEDNIK syndrome; Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome
ds:H00800	Loeys-Dietz syndrome (LDS)
ds:H00801	Familial thoracic aortic aneurysm and dissection (TAAD); Aortic aneurysm familial thoracic type (AAT)
ds:H00802	Ehlers-Danlos syndrome (EDS)
ds:H00803	Seizures-sensorineural deafness-ataxia-mental retardation-electrolyte imbalance (SESAME); SeSAME/EAST syndrome
ds:H00804	Multiple cutaneous and uterine leiomyomata
ds:H00805	Vitreoretinal degeneration
ds:H00806	Benign familial neonatal and infantile epilepsies
ds:H00807	Autosomal dominant nocturnal frontal lobe epilepsy (ADNFLE); Nocturnal frontal lobe epilepsy (NFLE)
ds:H00808	Idiopathic generalized epilepsies (IGEs)
ds:H00809	Familial epilepsy temporal lobe (ETL)
ds:H00810	Progressive myoclonic epilepsy (PME/ EPM)
ds:H00811	Distal arthrogryposis (DA)
ds:H00812	Trichomoniasis
ds:H00813	Laryngo onycho cutaneous syndrome
ds:H00814	Vitelliform macular dystrophy
ds:H00815	H syndrome; Hyperpigmentation, cutaneous, with hypertrichosis, hepatosplenomegaly, heart anomalies, hearing loss, and hypogonadism
ds:H00816	Agenesis of the corpus callosum with peripheral neuropathy (ACCPN)
ds:H00817	Branchiooculofacial syndrome (BOFS)
ds:H00818	Birt-Hogg-Dube syndrome
ds:H00819	Stargardt disease (STGD); Fundus flavimaculatus
ds:H00820	Bjornstad syndrome
ds:H00821	Age-related macular degeneration
ds:H00822	Renal agenesis and Renal adysplasia
ds:H00823	ABCD syndrome
ds:H00824	Calcification of joints and arteries
ds:H00825	Familial flecked retina syndrome
ds:H00826	Blepharophimosis-ptosis-epicanthus inversus syndrome (BPES)
ds:H00827	Brooke-Spiegler syndrome
ds:H00828	Familial cylindromatosis
ds:H00829	Multiple familial trichoepithelioma
ds:H00830	Alveolar capillary dysplasia with misalignment of pulmonary veins (ACD/MPV)
ds:H00831	Primary dystonia
ds:H00832	Core neuroacanthocytosis syndromes
ds:H00833	Neurodegeneration with brain iron accumulation (NBIA); Hallervorden-Spatz syndrome; Pantothenate kinase-associated neurodegeneration (PKAN); Neuroferritinopathy; Aceruloplasminemia
ds:H00834	Guanidinoacetate methyltransferase (GAMT) deficiency
ds:H00835	Succinic semialdehyde dehydrogenase (SSADH) deficiency; 4-Hydroxybutyric aciduria (4-HBA)
ds:H00836	GLUT1 deficiency syndrome (GLUT1DS); Glucose transport defect of the blood-brain barrier
ds:H00837	Leber congenital amaurosis (LCR)
ds:H00838	Congenital fibrosis of the extraocular muscles (CFEOM)
ds:H00839	Porencephaly
ds:H00840	Band-like calcification with simplified gyration and polymicrogyria (BLC-PMG); Pseudo-TORCH syndrome
ds:H00841	Infantile progressive bulbar palsy
ds:H00842	Epidermodysplasia verruciformis
ds:H00843	Hartnup disorder
ds:H00844	Familial benign chronic pemphigus; Benign familial pemphigus; Hailey-Hailey disease
ds:H00845	Familial amyloidosis
ds:H00846	Fuhrmann syndrome; Fibular aplasia or hypoplasia, femoral bowing and poly-, syn-, and oligodactyly
ds:H00847	Al-Awadi/Raas-Rothschild syndrome; Ulna and fibula, absence of, with sever limb deficiency
ds:H00848	Ataxia with ocular apraxia (AOA)
ds:H00849	Creatine deficiency syndrome
ds:H00850	Frontorhiny
ds:H00851	Synpolydactyly 2; Synpolydactyly, 3/3'4, associated with metacarpal and metatarsal synostoses
ds:H00852	Klippel-Feil syndrome(KFS)
ds:H00853	Cenani-Lenz syndactyly syndrome
ds:H00854	Wolfram syndrome (WFS); DIDMOAD syndrome
ds:H00855	Triphalangeal thumb-polysyndactyly syndrome
ds:H00856	Distal hereditary motor neuropathies (dHMN)
ds:H00857	Oligodontia-colorectal cancer syndrome
ds:H00858	Marie-Unna hereditary hypotrichosis (MUHH)
ds:H00859	Guttmacher syndrome
ds:H00860	Benign hereditary chorea
ds:H00861	Pancreatic agenesis
ds:H00862	Tourette syndrome
ds:H00863	Spondylo-megaepiphyseal-metaphyseal dysplasia
ds:H00864	Trichotillomania
ds:H00865	Lethal congenital contractural syndrome (LCCS)
ds:H00866	Trichothiodystrophy
ds:H00867	Radioulnar synostosis with amegakaryocytic thrombocytopenia
ds:H00868	Stapes ankylosis with broad thumb and toes
ds:H00869	Leukoencephalopathy with vanishing white matter; Vanishing white matter disease; Childhood ataxia with diffuse central nervous system hypomyelination (CACH); Cree leukoencephalopathy (CLE)
ds:H00870	Brachydactyly-syndactyly syndrome
ds:H00871	Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation (LBSL)
ds:H00872	Trismus-pseudocamptodactyly syndrome; Hecht-Beals Syndrome; Dutch-Kentucky syndrome
ds:H00873	Cousin syndrome; Pelviscapular dysplasia
ds:H00874	Leukoencephalopathy with dystonia and motor neuropathy; Sterol carrier protein 2 deficiency
ds:H00875	Megalencephalic leukoencephalopathy with subcortical cysts (MLC)
ds:H00876	Mismatch repair deficiency
ds:H00877	Brain small vessel disease with hemorrhage
ds:H00878	Cystic leukoencephalopathy without megalencephaly
ds:H00879	Perry syndrome
ds:H00880	Dyschromatosis symmetrica hereditaria
ds:H00881	Li-Fraumeni syndrome
ds:H00882	Cocoon syndrome
ds:H00883	Lipoid proteinosis; Urbach-Wiethe disease
ds:H00884	Familial progressive hyperpigmentation
ds:H00885	Hypomelanosis of Ito; Pigmentary mosaicism
ds:H00886	Donnai-Barrow syndrome; Faciooculoacousticorenal syndrome
ds:H00887	Lipoprotein glomerulopathy
ds:H00888	Nephrolithiasis/osteoporosis, hypophosphatemic
ds:H00889	MED12-related disorders
ds:H00890	Azoospermia
ds:H00891	Combined oxidative phosphorylation deficiency (COXPD)
ds:H00892	Bronchiectasis with or without elevated sweat chloride
ds:H00893	Skin fragility-woolly hair syndrome
ds:H00894	FG syndrome (FGS); Opitz-Kaveggia syndrome
ds:H00895	Basal cell nevus syndrome; Nevoid basal cell carcinoma syndrome; Gorlin syndrome
ds:H00896	Lymphangioleiomyomatosis (LAM)
ds:H00897	Pontocerebellar hypoplasia
ds:H00898	Myopathy with lactic acidosis and sideroblastic anaemia (MLASA); Mitochondrial myopathy and sideroblastic anemia; Hereditary myopathy with lactic acidosis (HML)
ds:H00899	Lysinuric protein intolerance (LPI)
ds:H00900	Geleophysic dysplasia
ds:H00901	Cystinuria
ds:H00902	Speech-language disorder 1 (SPCH1)
ds:H00903	Congenital clubfoot; Congenital talipes equinovarus
ds:H00904	Cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities; Urban-Rifkin-Davis syndrome
ds:H00905	Iminoglycinuria
ds:H00906	Macrocephaly, alopecia, cutis laxa, and scoliosis; MACS syndrome
ds:H00907	Kleefstra syndrome; 9q Subtelomeric deletion syndrome
ds:H00908	Mowat-Wilson syndrome
ds:H00909	Cleft palate with ankyloglossia
ds:H00910	Hirschsprung disease (HD)
ds:H00911	Dicarboxylic aminoaciduria
ds:H00912	Tumor necrosis factor receptor-associated periodic syndrome (TRAPS); Familial periodic fever
ds:H00913	Brain-lung-thyroid syndrome; Choreoathetosis, hypothyroidism, and neonatal respiratory distress
ds:H00914	Warsaw breakage syndrome
ds:H00915	Tuberous sclerosis complex (TSC); Bourneville-Pringle disease
ds:H00916	Congenital central hypoventilation syndrome (CCHS)
ds:H00917	Congenital dyserythropoietic anemias (CDAs)
ds:H00918	Double-outlet right ventricle
ds:H00919	Arterial tortuosity syndrome
ds:H00920	Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis
ds:H00921	Revesz syndrome; Exudative retinopathy with bone marrow failure
ds:H00922	Schinzel-Giedion midface retraction syndrome
ds:H00923	Congenital systemic glutamine deficiency (CSGD); Glutamine synthetase deficiency
ds:H00924	Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation; NHEJ1 syndrome
ds:H00925	2-Methyl-3-hydroxybutyryl-CoA dehydrogenase (MHBD) deficiency; HSD10 mitochondrial disease
ds:H00926	Growth retardation, developmental delay, coarse facies, and early death
ds:H00927	Chylomicron retention disease (CRD); Anderson disease
ds:H00928	Nephropathy with pretibial epidermolysis bullosa and deafness
ds:H00929	Congenital vertical talus
ds:H00930	Hypoalphalipoproteinemia
ds:H00931	Growth hormone insensitivity with immunodeficiency
ds:H00932	Tropical calcific pancreatitis
ds:H00933	Hereditary pancreatitis; Hereditary chronic pancreatitis
ds:H00934	Caudal duplication anomaly
ds:H00935	Cold-induced sweating syndrome (CISS) and Crisponi syndrome (CRISPS)
ds:H00936	Goldberg-Shprintzen megacolon syndrome; Goldberg-Shprintzen syndrome (GOSHS)
ds:H00937	Precocious puberty
ds:H00938	Factor XI deficiency; Plasma thromboplastin antecedent deficiency; Rosenthal syndrome
ds:H00939	Darsun syndrome; Neutropenia, severe congenital 4, autosomal recessive; G6PC3 deficiency
ds:H00940	Cohen syndrome
ds:H00941	Factor XII deficiency; Hageman factor deficiency
ds:H00942	Rabson-Mendenhall syndrome
ds:H00943	TARP syndrome
ds:H00944	Dowling-Degos disease
ds:H00945	Factor XIII deficiency
ds:H00946	Arts syndrome
ds:H00947	Pilomatricoma; Epithelioma calcificans of Malherbe
ds:H00948	Renal hypouricemia (RHUC)
ds:H00949	Focal dermal hypoplasia; Goltz-Gorlin syndrome
ds:H00950	Arthrogryposis, renal dysfunction, and cholestasis; ARC syndrome
ds:H00951	Reis-Bucklers corneal dystrophy (RBCD); Corneal dystrophy of Bowman's type I; Granular corneal dystrophy type III
ds:H00952	Thiel-Behnke dystrophies (TBCD); Corneal dystrophy of Bowman layer type II; Honeycomb corneal dystrophy; Anterior limiting membrane dystrophy type II; Curly fibers corneal dystrophy; Waardenburg-Jonker corneal dystrophy
ds:H00953	Gelatinous drop-like corneal dystrophy (GDCD); Subepithelial amyloidosis; Primary familial amyloidosis
ds:H00954	Macular corneal dystrophy (MCD); Corneal dystrophy Groenouw type II; Fehr corneal dystrophy
ds:H00955	Granular corneal dystrophies (GCD)
ds:H00956	Lattice corneal dystrophies (LCD)
ds:H00957	Fleck corneal dystrophy (FCD); Francois-Neetens speckled corneal dystrophy
ds:H00958	Congenital stromal corneal dystrophy (CSCD); Congenital hereditary stromal dystrophy; Witschel dystrophy
ds:H00959	Schnyder corneal dystrophy (SCD); Schnyder crystalline corneal dystrophy (SCCD); Crystalline stromal dystrophy; Schnyder crystalline dystrophy sine crystals
ds:H00960	Fuchs corneal dystrophy (FECD); Fuchs endothelial corneal dystrophy
ds:H00961	Posterior polymorphous corneal dystrophy (PPCD)
ds:H00962	RIDDLE syndrome
ds:H00963	Congenital hereditary endothelial dystrophy (CHED)
ds:H00964	Thiopurine S-methyltransferase deficiency (TPMT deficiency)
ds:H00965	RAPADILINO syndrome
ds:H00966	AICA-ribosiduria; ATIC deficiency
ds:H00967	Adiponectin deficiency
ds:H00968	Raine syndrome; Lethal osteosclerotic bone dysplasia
ds:H00969	Skeletal defects, genital hypoplasia, and mental retardation
ds:H00970	Juvenile primary lateral sclerosis
ds:H00971	Achromatopsia; Rod monochromacy
ds:H00972	Endocrine-cerebro-osteodysplasia syndrome
ds:H00973	Bradyopsia
ds:H00974	Blue cone monochromacy
ds:H00975	Rotaviral enteritis; Rotaviral gastroenteritis
ds:H00976	Colorblindness
ds:H00977	Trichorhinophalangeal dysplasia
ds:H00978	Thrombocytopenia (THC); Familial platelet disorder with associated myeloid malignancy (FPDMM)
ds:H00979	Caudal regression syndrome and Sirenomelia
ds:H00980	Nevo syndrome
ds:H00981	Ataxia with isolated vitamin E deficiency (AVED); Friedreich-like ataxia
ds:H00982	Sideroblastic anemia
ds:H00983	Alpha-2-plasmin inhibitor (a2-PI) deficiency
ds:H00984	Bare lymphocyte syndrome (BLS) type1
ds:H00985	Bare lymphocyte syndrome (BLS) type2
ds:H00986	Multiple pterygium syndrome
ds:H00987	Fetal akinesia deformation sequence (FADS); Pena-Shokeir syndrome, type 1
ds:H00988	Enterokinase deficiency; Enteropeptidase deficiency
ds:H00989	Mohr-Tranebjaerg syndrome
ds:H00990	Microcephaly, Amish type
ds:H00991	Microcephalic osteodysplastic primordial dwarfism, type II (MOPD II)
ds:H00992	Seckel syndrome
ds:H00993	Microcephalic osteodysplastic primordial dwarfism, type I (MOPD I); Taybi-Linder syndrome
ds:H00994	Familial skewed X-chromosome inactivation
ds:H00995	Combined deficiency of vitamin K-dependent clotting factors (VKCFD)
ds:H00996	Amish infantile epilepsy syndrome
ds:H00997	CATSHL syndrome
ds:H00998	Alternating hemiplegia of childhood
ds:H00999	Coenzyme Q10 deficiency
ds:H01000	Retinal vasculopathy with cerebral leukodystrophy (RVCL)
ds:H01001	COACH syndrome
ds:H01002	Generalized arterial calcification of infancy
ds:H01003	Dimethylglycine dehydrogenase deficiency (DMGDHD)
ds:H01004	Velocardiofacial syndrome
ds:H01005	Dopamine beta-hydroxylase deficiency; Norepinephrine deficiency; Noradrenaline deficiency
ds:H01006	Hereditary angioedema (HAE)
ds:H01007	Choroid plexus papilloma
ds:H01008	C syndrome; Opitz trigonocephaly syndrome
ds:H01009	Newfoundland rod-cone dystrophy (NFRCD)
ds:H01010	Occult macular dystrophy (OMD)
ds:H01011	Adrenocorticotropic hormone deficiency; Isolated ACDH deficiency (IAD)
ds:H01012	Oculo-auricular syndrome
ds:H01013	Adult i phenotype
ds:H01014	Sparganosis
ds:H01015	Jalili syndrome
ds:H01016	Primary bile acid malabsorption
ds:H01017	Choanal atresia and lymphedema
ds:H01018	Metachondromatosis
ds:H01019	Catecholaminergic polymorphic ventricular tachycardia
ds:H01020	Optic atrophy (OPA)
ds:H01021	Rhodococcus equi infection
ds:H01022	Diseases of the tricarboxylic acid cycle
ds:H01023	Juvenile polyposis syndrome
ds:H01024	Hereditary mixed polyposis syndrome
ds:H01025	Familial adenomatous polyposis
ds:H01026	Renal coloboma syndrome (RCS); Papillorenal syndrome
ds:H01027	Anophthalmia and microphthalmia (A/M); Nanophthalmia/ Nanophthalmos
ds:H01028	Argininosuccinic aciduria (ARGINSA); Argininosuccinate lyase deficiency
ds:H01029	Cornea plana congenita
ds:H01030	Lethal arthrogryposis with anterior horn cell disease
ds:H01031	Orthostatic intolerance (OI); Postural tachycardia syndrome (POTS)
ds:H01032	N-acetylglutamate synthase (NAGS) deficiency
ds:H01033	Congenital bilateral absence of vas deferens
ds:H01034	L1 syndrome
ds:H01035	Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia
ds:H01036	Posterior column ataxia with retinitis pigmentosa (PCARP)
ds:H01037	Vesicoureteral reflux
ds:H01038	Cerebellar ataxia cayman type (ATCAY); Cayman ataxia
ds:H01039	Ovarian hyperstimulation syndrome (OHSS)
ds:H01040	Bamforth-Lazarus syndrome
ds:H01041	Aerococcus urinae infection
ds:H01042	Buruli ulcer
ds:H01043	Onchocerciasis; River blindness; Robles' Disease
ds:H01044	Dracunculiasis; Guinea worm disease
ds:H01045	Schistosomiasis
ds:H01046	Trichuriasis
ds:H01047	Cysticercosis
ds:H01048	Liver fluke disease; Fascioliasis
ds:H01049	Gordonia bronchialis infection
ds:H01050	Tsukamurella infections
ds:H01051	Corynebacterium ulcerans infection
ds:H01052	Molluscum contagiosum
ds:H01053	Paroxysmal nocturnal hemoglobinuria (PNH)
ds:H01054	Pediculosis
ds:H01055	Giant kidney worm infection; Dioctophymosis
ds:H01056	Toxocariasis
ds:H01057	Gnathostomiasis
ds:H01058	Anisakiasis
ds:H01059	Capnocytophaga canimorsus infection
ds:H01060	Babesiosis
ds:H01061	Mansonelliasis
ds:H01062	Histoplasmosis
ds:H01063	Human metapneumovirus infection
ds:H01064	Simkania negevensis infection
ds:H01065	Pentosuria
ds:H01066	Bordetella petrii infection
ds:H01067	Proteus mirabilis infection
ds:H01068	Aggregatibacter aphrophilus infection
ds:H01069	Stenotrophomonas maltophilia infection
ds:H01070	Vibrio furnissii infection
ds:H01071	Acute alcohol sensitivity
ds:H01072	Moraxella catarrhalis infection
ds:H01073	Shewanella infection
ds:H01074	Aeromonas infection
